,R2,MAE,RMSE
LinearRegression,0.9525,0.2684,0.3816
Ridge,0.9525,0.2681,0.3817
SVR,0.9443,0.2499,0.4135
GradientBoosting,0.9358,0.2655,0.4439
RandomForest,0.9345,0.2642,0.4484
PyTorchMLP,0.9165,0.2194,0.5062
