,R2,MAE,RMSE
LinearRegression,0.9704,1.7219,4.1909
Ridge,0.9703,1.7245,4.1982
GradientBoosting,0.9516,1.5796,5.3614
SVR,0.9495,2.0528,5.4739
RandomForest,0.9492,1.7255,5.4902
PyTorchMLP,0.8864,2.4499,8.2124
