Endurance 2
Computer_Time_IST,Packet_ID,Speed_Kmph,RPM,LoRa_Timestamp,MPU_Gx,MPU_Gy,MPU_Gz
12:37:27.948,4648,0,0.00,1546306430,0.00,-0.01,-0.01
12:37:28.949,4649,0,0.00,1546306431,0.01,-0.01,-0.01
12:37:29.948,4650,0,0.00,1546306432,0.01,-0.01,-0.01
12:37:30.948,4651,0,0.00,1546306433,0.00,-0.01,-0.01
12:37:31.948,4652,0,0.00,1546306434,0.01,-0.01,-0.01
12:37:32.949,4653,0,0.00,1546306435,0.01,-0.01,-0.01
12:37:33.948,4654,0,0.00,1546306436,0.01,-0.01,-0.00
12:37:34.948,4655,0,0.00,1546306437,0.00,-0.01,-0.01
12:37:35.948,4656,0,0.00,1546306438,0.00,-0.01,-0.01
12:37:36.949,4657,0,0.00,1546306439,0.00,-0.01,-0.01
12:37:37.949,4658,0,0.00,1546306440,0.00,-0.01,-0.01
12:37:38.948,4659,0,0.00,1546306441,0.00,-0.01,-0.01
12:37:39.948,4660,0,0.00,1546306442,0.01,-0.01,-0.01
12:37:40.948,4661,0,0.00,1546306443,0.00,-0.01,-0.01
12:37:41.949,4662,0,0.00,1546306444,0.00,-0.01,-0.01
12:37:42.949,4663,0,0.00,1546306445,0.01,-0.01,-0.01
12:37:43.949,4664,0,0.00,1546306446,0.01,-0.01,-0.01
12:37:44.948,4665,0,0.00,1546306447,0.01,-0.00,-0.01
12:37:45.948,4666,0,0.00,1546306448,0.01,-0.01,-0.01
12:37:46.948,4667,0,0.00,1546306449,0.01,-0.01,-0.01
12:37:47.948,4668,0,0.00,1546306450,0.00,-0.01,-0.01
12:37:48.948,4669,0,0.00,1546306451,0.01,-0.01,-0.01
12:37:49.949,4670,0,0.00,1546306452,0.00,-0.01,-0.01
12:37:50.949,4671,0,0.00,1546306453,0.01,-0.01,-0.01
12:37:51.948,4672,0,0.00,1546306454,0.00,-0.00,-0.01
12:37:52.948,4673,0,0.00,1546306455,0.00,-0.00,-0.01
12:37:53.948,4674,0,0.00,1546306456,0.00,-0.01,-0.01
12:37:54.948,4675,0,0.00,1546306457,0.01,-0.01,-0.01
12:37:55.948,4676,0,0.00,1546306458,0.00,-0.01,-0.01
12:37:56.949,4677,0,0.00,1546306459,0.01,-0.01,-0.01
12:37:57.949,4678,0,0.00,1546306460,0.00,-0.01,-0.01
12:37:58.948,4679,0,0.00,1546306461,0.00,-0.01,-0.01
12:37:59.948,4680,0,0.00,1546306462,0.00,-0.01,-0.01
12:38:00.948,4681,0,0.00,1546306463,0.01,-0.01,-0.01
12:38:01.948,4682,0,0.00,1546306464,0.00,-0.01,-0.01
12:38:02.949,4683,0,0.00,1546306465,0.00,-0.00,-0.01
12:38:03.949,4684,0,0.00,1546306466,0.00,-0.01,-0.01
12:38:04.949,4685,0,0.00,1546306467,0.01,-0.01,-0.01
12:38:05.948,4686,0,0.00,1546306468,0.01,-0.01,-0.01
12:38:06.948,4687,0,0.00,1546306469,0.00,-0.01,-0.01
12:38:07.948,4688,0,0.00,1546306470,0.01,-0.01,-0.01
12:38:08.948,4689,0,0.00,1546306471,0.00,-0.01,-0.01
12:38:09.949,4690,0,0.00,1546306472,0.01,0.01,-0.01
12:38:10.949,4691,0,0.00,1546306473,0.00,-0.01,-0.01
12:38:11.948,4692,0,0.00,1546306474,-0.00,-0.01,-0.01
12:38:12.948,4693,0,0.00,1546306475,0.00,-0.01,-0.01
12:38:13.948,4694,0,0.00,1546306476,0.00,-0.01,-0.01
12:38:14.948,4695,0,0.00,1546306477,0.00,-0.01,-0.01
12:38:15.948,4696,0,0.00,1546306478,0.00,-0.01,-0.01
12:38:16.949,4697,0,0.00,1546306479,0.01,-0.01,-0.01
12:38:17.949,4698,0,0.00,1546306480,0.01,-0.01,-0.01
12:38:18.948,4699,0,0.00,1546306481,0.00,-0.01,-0.01
12:38:19.948,4700,0,0.00,1546306482,0.00,-0.01,-0.01
12:38:20.948,4701,0,0.00,1546306483,0.01,-0.01,-0.01
12:38:21.949,4702,0,0.00,1546306484,0.00,-0.01,-0.01
12:38:22.949,4703,0,0.00,1546306485,0.00,-0.01,-0.01
12:38:23.949,4704,0,0.00,1546306486,0.00,-0.01,-0.01
12:38:24.948,4705,0,0.00,1546306487,0.01,-0.01,-0.01
12:38:25.948,4706,0,0.00,1546306488,0.00,-0.00,-0.01
12:38:26.948,4707,0,0.00,1546306489,0.01,-0.01,-0.01
12:38:27.949,4708,0,0.00,1546306490,0.00,-0.01,-0.01
12:38:28.949,4709,0,0.00,1546306491,0.01,-0.01,-0.01
12:38:29.949,4710,0,0.00,1546306492,0.01,-0.00,-0.01
12:38:30.948,4711,0,0.00,1546306493,0.00,-0.01,-0.01
12:38:31.948,4712,0,0.00,1546306494,0.00,-0.01,-0.01
12:38:32.948,4713,0,0.00,1546306495,0.00,-0.01,-0.01
12:38:33.948,4714,0,0.00,1546306496,0.00,-0.01,-0.01
12:38:34.949,4715,0,0.00,1546306497,0.00,-0.01,-0.01
12:38:35.949,4716,0,0.00,1546306498,0.01,-0.01,-0.01
12:38:36.948,4717,0,0.00,1546306499,0.01,-0.00,-0.01
12:38:37.948,4718,0,0.00,1546306500,0.00,-0.01,-0.00
12:38:38.949,4719,0,0.00,1546306501,0.01,-0.01,-0.01
12:38:39.949,4720,0,0.00,1546306502,0.00,-0.01,-0.00
12:38:40.948,4721,0,0.00,1546306503,-0.00,0.01,-0.01
12:38:41.948,4722,0,0.00,1546306504,0.01,-0.01,-0.01
12:38:42.949,4723,0,0.00,1546306505,0.01,-0.01,-0.01
12:38:43.949,4724,0,0.00,1546306506,0.00,-0.01,-0.01
12:38:44.948,4725,0,0.00,1546306507,0.01,-0.00,-0.01
12:38:45.948,4726,0,0.00,1546306508,0.01,-0.01,-0.01
12:38:46.949,4727,0,0.00,1546306509,0.01,-0.01,-0.01
12:38:47.949,4728,0,0.00,1546306510,0.01,-0.01,-0.01
12:38:48.948,4729,0,0.00,1546306511,0.01,-0.01,-0.01
12:38:49.949,4730,0,0.00,1546306512,0.01,-0.01,-0.01
12:38:50.949,4731,0,0.00,1546306513,0.01,-0.01,-0.01
12:38:51.948,4732,0,0.00,1546306514,0.01,-0.02,-0.01
12:38:52.948,4733,0,0.00,1546306515,0.00,-0.01,-0.01
12:38:53.948,4734,0,0.00,1546306516,-0.00,-0.00,-0.01
12:38:54.949,4735,0,0.00,1546306517,0.01,-0.01,-0.01
12:38:55.949,4736,0,0.00,1546306518,0.00,-0.01,-0.01
12:38:56.948,4737,0,0.00,1546306519,0.01,-0.01,-0.01
12:38:57.948,4738,0,0.12,1546306520,-0.03,0.03,-0.04
12:38:58.949,4739,1,30.78,1546306521,0.05,-0.02,0.03
12:38:59.949,4740,3,73.22,1546306522,0.00,0.00,0.26
