,R2,MAE,RMSE
GradientBoosting,0.7606,5.3256,8.8043
RandomForest,0.7,5.6316,9.8546
SVR,0.3272,6.0444,14.7586
Ridge,0.0933,8.4683,17.1332
LinearRegression,0.091,8.4853,17.1542
PyTorchMLP,-0.1872,12.3002,19.6049
